"food_facts_id","food_name","public_food_key","calcium","carbohydrates","classification","energy","fat_total","iodine","magnesium","potassium","protein","saturated_fat","sodium","total_dietary_fibre","total_sugars","creation_ts","last_modified_ts"
1536,"Parsnip, peeled, fresh, raw","F006328","38","10","24302","237","0.2","0","24","420","1.8","0","19","3.6","4.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1537,"Passionfruit, pulp, canned","F006332","6","19.8","16505","424","0.2","0.2","14","100","1.5","0","10","7","19.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1538,"Passionfruit, raw","F006333","10","5.7","16504","304","0.3","0","28","200","3","0","19","13.9","5.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1539,"Pasta in cream based sauce, dry mix","F006409","98","69.7","13509","1546","3.1","16","52","500","13.1","1.65","690","3.6","9.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1540,"Pasta in cream based sauce, prepared from dry mix","F009830","84","23.6","13509","599","2.6","16.5","22","226","5.6","1.12","240","1.1","5.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1541,"Pasta, gluten free, boiled from dry, no added salt","F006429","15","32.4","12403","639","0.7","1","13","39","3.1","0.27","1","1.2","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1542,"Pasta, legume based, boiled, no added salt","F009835","46","16.1","12403","629","1.7","6.6","63","410","14.4","0.22","16","6.2","1.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1543,"Pasta, maize flour (corn) based, boiled from dry, no added salt","F006431","1","23.1","12403","503","0.7","3.4","36","31","2.6","0.1","0","4.8","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1544,"Pasta, maize flour (corn) based, dry","F006433","4","68.3","12403","1452","2.1","10","119","294","7.5","0.29","3","11","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1545,"Pasta, white wheat flour & egg, boiled from dry, no added salt","F006444","16","29.1","12401","694","1.4","4.3","27","66","7.5","0.21","4","2.6","0.6","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1546,"Pasta, white wheat flour & egg, dry","F006445","23","74.4","12401","1522","1.6","9.8","37","178","10.6","0.26","9","2.2","1.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1547,"Pasta, white wheat flour & spinach, boiled from dry, no added salt","F006451","15","27.3","12401","554","0.4","3.4","10","55","3.8","0.06","48","1.4","0.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1548,"Pasta, white wheat flour & spinach, dry","F006453","39","73.1","12401","1525","1.3","10","45","203","11.9","0.22","38","4.4","2.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1549,"Pasta, white wheat flour, boiled from dry, no added salt","F006456","12","26.2","12401","572","0.4","4.3","25","43","5.3","0.06","2","2.2","0.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1550,"Pasta, white wheat flour, dry","F006458","18","68.5","12401","1458","1.4","10","30","142","12.7","0.24","5","3.2","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1551,"Pasta, white wheat flour, fresh, boiled, no added salt","F006459","18","27.1","12401","691","3","3.4","18","49","5.9","0.36","78","2.7","1.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1552,"Pasta, white wheat flour, fresh, uncooked","F006460","27","49.4","12401","1168","3.4","10","33","190","10.5","0.4","11","3.3","0.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1553,"Pasta, wholemeal wheat flour, boiled from dry, no added salt","F006464","28","24.6","12401","586","0.8","3.4","39","92","5.4","0.11","5","5.7","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1554,"Pasta, wholemeal wheat flour, dry","F006465","63","60.6","12401","1404","2.2","10","85","305","12.5","0.33","11","9.9","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1555,"Paste, green curry, commercial","F006469","33","6.3","23109","461","7.9","1.6","50","195","2.4","1.39","1807","3","3.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1556,"Paste, Indian style curry, commercial","F006471","136","10.2","23109","1287","26.4","1.6","48","602","4.8","2.73","3434","5.4","4.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1557,"Paste, shrimp","F006476","1380","0","15504","394","1","67.5","39","393","21","0.27","6000","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1558,"Paste, soybean","F005702","69","19.7","25201","766","5.1","120","79","380","12.9","0.74","3800","4.3","10.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1559,"Pastry, filled with spinach & cheese, purchased frozen, baked","F006493","150","24.7","13405","1214","16.4","7.9","27","170","9.4","8.3","490","2.5","2.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1560,"Pastry, filo, commercial, baked","F006496","19","75.1","13401","1631","3.1","1.5","37","156","12.2","0.42","766","4.3","2.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1561,"Pastry, filo, commercial, raw","F006497","18","55.8","13401","1283","3.8","1.5","26","129","10.2","0.53","581","2.5","1.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1562,"Pastry, puff, vegetable oil, commercial, baked","F006502","12","44.9","13401","1694","21","0","17","81","7","9.62","497","4.4","1.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1563,"Pastry, puff, vegetable oil, commercial, raw","F006503","9","35","13401","1321","16.4","0","13","63","5.5","7.5","387","3.4","1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1564,"Pastry, puff, with butter, commercial, baked","F006504","15","42.7","13401","1796","24.7","0","17","82","7.1","15.45","208","4.4","1.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1565,"Pastry, puff, with butter, commercial, raw","F006505","12","32.9","13401","1383","19","0","13","63","5.5","11.9","160","3.4","1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1566,"Pastry, shortcrust style, commercial, baked","F006506","12","55.6","13401","2080","27.5","1.4","14","72","6.6","12.04","463","1.8","9.6","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1567,"Pastry, shortcrust style, commercial, raw","F006507","10","42","13401","1685","23.8","0","13","60","5.5","10.41","382","0.8","7.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1568,"Pawpaw (papaya), peeled, raw","F006528","28","6.9","16504","142","0.1","0","14","140","0.4","0","7","2.3","6.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1569,"Pea, green, fresh, boiled, drained","F006535","18","6.4","24501","251","0.4","0","21","140","4.8","0","1","5.2","2.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1570,"Pea, green, fresh, raw","F006536","30","8.1","24501","294","0.4","5","33","268","5.8","0","1","5.6","4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1571,"Pea, green, frozen, boiled, drained","F006538","27","6.4","24501","261","0.3","0","24","120","5.2","0","3","6.1","2.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1572,"Pea, green, whole, dried","F006541","56","40.9","24501","1297","2.1","0.4","121","990","22","0.24","5","16.8","2.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
