publicFoodKey,classification,foodName,energy,protein,fatTotal,totalDietaryFibre,totalSugars,carbohydrates,calcium,iodine,magnesium,potassium,sodium,saturatedFat
F007722,12101,"Rye, grain, whole, uncooked",1296,11.1,2.6,17.3,1.7,51.3,41,3.0,116,510,5,0.36
F007724,12101,"Rye, rolled, uncooked",1278,10.4,2.6,17.3,1.4,50.8,38,3.0,108,510,3,0.29
F007726,31302,"Sage, dried",1320,10.6,12.8,40.3,1.7,20.4,1652,1.8,428,1070,11,7.03
F007818,18603,"Salami, all varieties, raw",1412,21.9,27.4,0.5,0.0,0.4,21,3.8,23,360,1500,8.93
F007814,18603,"Salami, danish",1858,19.6,40.2,0.0,0.8,1.2,20,2.0,19,265,1485,13.75
F007815,18603,"Salami, hungarian",1783,21.6,37.4,0.0,0.0,0.9,22,2.0,21,265,1730,12.08
F007816,18603,"Salami, mettwurst",1791,21.9,37.5,0.0,0.5,0.8,18,2.0,18,245,1535,12.47
F007817,18603,"Salami, milano",1781,21.7,36.9,0.0,1.0,2.2,28,2.0,24,280,1495,11.57
F007819,18603,"Salami, pepperoni",1774,23.5,36.1,0.0,0.8,1.6,22,2.0,27,290,1400,13.38
F007826,15101,"Salmon, Atlantic, fillet, grilled, no added fat",1078,22.9,18.6,0.0,0.0,0.0,54,0.0,32,409,36,4.21
F007827,15101,"Salmon, Atlantic, fillet, raw",965,20.5,16.7,0.0,0.0,0.0,48,0.0,28,366,32,3.77
F007828,15101,"Salmon, Atlantic, fillet, steamed, no added fat",1135,24.1,19.6,0.0,0.0,0.0,57,0.0,30,366,32,4.44
F007847,15401,"Salmon, flavoured, canned, undrained",538,15.5,5.0,0.0,4.1,5.5,102,17.0,25,240,420,0.69
F007848,15101,"Salmon, Pacific King, fillet, skinless, grilled, no added fat",1284,20.2,25.4,0.0,0.0,0.0,10,5.3,30,424,33,6.32
F007849,15101,"Salmon, Pacific King, fillet, skinless, raw",1149,18.1,22.8,0.0,0.0,0.0,9,5.0,27,380,30,5.65
F007850,15101,"Salmon, Pacific King, fillet, steamed, no added fat",1352,21.3,26.8,0.0,0.0,0.0,10,4.7,28,380,30,6.65
F007853,15401,"Salmon, pink, canned in brine, drained",579,20.7,6.2,0.0,0.0,0.0,191,60.0,30,286,382,1.40
F007860,15401,"Salmon, red, canned in brine, drained",617,24.4,5.5,0.0,0.0,0.0,130,13.0,26,270,350,1.14
F007864,15102,"Salmon, smoked, sliced",787,24.3,10.1,0.0,0.0,0.0,8,7.4,34,420,1015,1.74
F007870,31301,"Salt substitute, potassium chloride",0,0.0,0.0,0.0,0.0,0.0,34,19.9,1,50009,33,0.00
F007878,31301,"Salt, table, iodised",0,0.0,0.0,0.0,0.0,0.0,34,4400.0,1,98,38168,0.00
F007879,31301,"Salt, table, non-iodised",0,0.0,0.0,0.0,0.0,0.0,34,19.9,1,17,38178,0.00
F007972,15101,"Sardine, Australian, whole, fried, no added fat",444,22.0,1.9,0.0,0.0,0.0,872,52.0,54,402,794,0.59
F007973,15101,"Sardine, Australian, whole, raw",442,19.7,2.9,0.0,0.0,0.0,725,75.8,46,352,665,1.17
F007987,23103,"Sauce, barbecue, commercial",725,0.8,0.1,0.9,38.4,42.2,12,2.2,9,130,710,0.00
F007992,23107,"Sauce, butter chicken, commercial",412,1.3,7.6,1.9,3.6,5.8,21,3.0,18,144,462,3.13
F008000,23103,"Sauce, cranberry, commercial",649,0.0,0.0,1.1,40.0,40.0,3,0.0,2,50,50,0.00
F008004,23103,"Sauce, fish, commercial",213,6.8,0.3,1.2,4.4,4.4,30,33.0,118,215,8255,0.08
F008008,23103,"Sauce, hoi sin (hoisin), commercial",922,1.6,5.4,10.4,33.5,37.2,41,1.6,14,51,1550,0.82
F008026,23103,"Sauce, oyster, commercial",471,2.8,1.0,0.3,15.6,21.0,40,3.0,24,210,3790,0.16
F008028,23107,"Sauce, pasta or simmer, commercial, low fat",240,0.8,2.9,1.3,3.5,6.6,9,0.0,10,89,281,0.30
F008029,23103,"Sauce, pasta, basil pesto, commercial",1598,5.3,37.1,1.5,2.1,7.4,147,6.0,32,232,1251,6.93
F008031,18701,"Sauce, pasta, bolognese, homemade using beef mince & commercial tomato based sauce",471,10.0,6.2,1.1,3.3,3.9,16,2.4,19,310,180,2.00
F008032,18701,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",388,8.8,4.5,1.4,3.2,3.8,16,2.3,20,450,56,1.47
F008036,23107,"Sauce, pasta, cheese or cream-based, commercial",363,1.4,6.8,0.1,2.7,5.3,32,6.2,5,94,482,2.77
F008050,23104,"Sauce, pasta, tomato-based, commercial, heated",226,1.6,1.5,1.8,6.2,7.5,27,0.9,15,337,375,0.17
